input_state,alice_bits,branch_probability,fidelity
34,11,0.24999999999999983,1.0
35,00,0.24999999999999986,1.0000000000000004
35,01,0.24999999999999986,1.0000000000000004
35,10,0.24999999999999986,1.0000000000000004
35,11,0.24999999999999986,1.0000000000000004
36,00,0.25,1.0
36,01,0.25,1.0
36,10,0.25,1.0
36,11,0.25,1.0
37,00,0.24999999999999986,1.0
37,01,0.24999999999999986,1.0
37,10,0.24999999999999986,1.0
37,11,0.24999999999999986,1.0
38,00,0.24999999999999994,1.0000000000000004
38,01,0.24999999999999994,1.0000000000000004
38,10,0.24999999999999994,1.0000000000000004
38,11,0.24999999999999994,1.0000000000000004
39,00,0.2499999999999999,0.9999999999999996
39,01,0.24999999999999986,1.0
39,10,0.2499999999999999,0.9999999999999996
39,11,0.24999999999999986,1.0
40,00,0.24999999999999983,1.0
40,01,0.24999999999999983,1.0
40,10,0.24999999999999983,1.0
40,11,0.24999999999999983,1.0
41,00,0.2499999999999999,1.0
41,01,0.2499999999999999,1.0
41,10,0.2499999999999999,1.0
41,11,0.2499999999999999,1.0
42,00,0.24999999999999986,1.0
42,01,0.24999999999999986,1.0
42,10,0.24999999999999986,1.0
42,11,0.24999999999999986,1.0
43,00,0.24999999999999986,1.0
43,01,0.2499999999999999,1.0
43,10,0.24999999999999986,1.0
43,11,0.2499999999999999,1.0
44,00,0.24999999999999992,1.0
44,01,0.2499999999999999,1.0
44,10,0.24999999999999992,1.0
44,11,0.2499999999999999,1.0
45,00,0.24999999999999983,1.0
45,01,0.24999999999999983,1.0
45,10,0.24999999999999983,1.0
45,11,0.24999999999999983,1.0
46,00,0.24999999999999994,1.0000000000000004
46,01,0.24999999999999994,1.0000000000000004
46,10,0.24999999999999994,1.0000000000000004
46,11,0.24999999999999994,1.0000000000000004
47,00,0.24999999999999983,0.9999999999999998
47,01,0.24999999999999978,0.9999999999999998
47,10,0.24999999999999983,0.9999999999999998
47,11,0.24999999999999978,0.9999999999999998
48,00,0.24999999999999983,1.0
48,01,0.24999999999999986,1.0
48,10,0.24999999999999983,1.0
48,11,0.24999999999999986,1.0
49,00,0.24999999999999994,1.0000000000000004
49,01,0.24999999999999994,1.0000000000000004
